Aircraft ID,IAS at 850 ft [kt],IAS at 1500 ft [kt],IAS at 3500 ft [kt],SID,Group SID,Aircraft type,Airline
"RYR47NG","167","168","167","LARPA5Q","SID_24_2","B738","Ryanair"
"VLG3EN","158","165","200","DIPES1Q","SID_24_3","A320","Vueling"
"VLG13HE","154","168","206","DUNES5Q","SID_24_2","A320","Vueling"
"VLG5AN","152","168","205","NATPI2Q","SID_24_1","A20N","Vueling"
"VLG1512","155","171","205","DALIN4Q","SID_24_3","A320","Vueling"
"NSZ365L","166","196","206","DALIN4Q","SID_24_3","B38M","Network Aviation"
"VLG6NJ","161","177","214","NATPI2Q","SID_24_1","A320","Vueling"
"VLG4WJ","162","171","219","OLOXO1Q","SID_24_1","A320","Vueling"
"VLG202P","149","160","205","AGENA5Q","SID_24_3","A20N","Vueling"
"AAL67","177","190","213","LOBAR6Q","SID_24_1","B772","American Airlines"
"IBE30HP","144","147","206","SENIA5Q","SID_24_2","A320","Iberia"
"VLG64LZ","162","170","205","OLOXO1Q","SID_24_1","A321","Vueling"
"VLG48EZ","154","170","205","AGENA5Q","SID_24_3","A320","Vueling"
"VLG3YG","156","166","203","LOTOS5Q","SID_24_2","A321","Vueling"
"VLG5SH","152","171","226","LARPA5Q","SID_24_2","A20N","Vueling"
"NOZ41B","171","198","207","OLOXO1Q","SID_24_1","B738","Norwegian Air Shuttle"
"DLH27W","180","187","194","DALIN4Q","SID_24_3","A321","Lufthansa"
"VLG63KY","153","174","206","OLOXO1Q","SID_24_1","A20N","Vueling"
"VLG28VR","153","170","205","DALIN4Q","SID_24_3","A20N","Vueling"
"AHO859Y","174","177","206","AGENA5Q","SID_24_3","E35L","Air Hamburg"
"BAW485","147","152","191","NATPI2Q","SID_24_1","A319","British Airways"
"VLG2MJ","158","171","208","GRAUS5Q","SID_24_1","A320","Vueling"
"EJU64CT","156","156","206","DALIN4Q","SID_24_3","A319","easyJet Europe"
"RYR75HD","165","166","168","OLOXO1Q","SID_24_1","B738","Ryanair"
"EJU48RE","157","162","205","DALIN4Q","SID_24_3","A320","easyJet Europe"
"AHY046","152","151","179","DIPES1Q","SID_24_3","A320","Azerbaijan Airlines"
"RYR6UL","168","170","170","AGENA5Q","SID_24_3","B738","Ryanair"
"RYR6376","168","171","173","LOTOS5Q","SID_24_2","B738","Ryanair"
"AFR94BQ","161","153","178","OLOXO1Q","SID_24_1","A320","Air France"
"VLG3VF","150","164","192","DIPES1Q","SID_24_3","A320","Vueling"
"RYR426G","168","169","166","DALIN4Q","SID_24_3","B738","Ryanair"
"RYR1XN","166","168","168","DUNES5Q","SID_24_2","B738","Ryanair"
"T7MPS","173","179","188","LARPA5Q","SID_24_2","PC24","San Marino Private Aircraft"
"AAL113","171","171","172","LOBAR6Q","SID_24_1","B788","American Airlines"
"IBE30SY","154","152","198","SENIA5Q","SID_24_2","A320","Iberia"
"VLG12ET","153","149","215","LARPA5Q","SID_24_2","A20N","Vueling"
