Aircraft ID,Distance sonometro [NM],Aircraft latitude [°],Aircraft longitude [°],Time [hh:mm:ss:fff],SID,Group SID,Aircraft type,Airline
"IBE30HP","0,697699407808016","41,270830768334314","2,0631284885100625","11:01:24:031","SENIA5Q","SID_24_2","A320","Iberia"
"VLG64LZ","0,610651170310769","41,26855101316112","2,060503553162373","11:05:48:070","OLOXO1Q","SID_24_1","A321","Vueling"
"VLG48EZ","0,666567499015426","41,26983245225311","2,0622426794189086","11:07:20:093","AGENA5Q","SID_24_3","A320","Vueling"
"VLG3YG","0,663578917716025","41,27041341251804","2,06230400705238","11:08:40:109","LOTOS5Q","SID_24_2","A321","Vueling"
"VLG5SH","0,803180505702999","41,2695965470723","2,0652556723610136","11:12:32:132","LARPA5Q","SID_24_2","A20N","Vueling"
"NOZ41B","0,405872354188921","41,26930153457782","2,0560367002950937","11:13:52:210","OLOXO1Q","SID_24_1","B738","Norwegian Air Shuttle"
"DLH27W","0,576158624699537","41,268986025964644","2,0598939472816467","11:19:04:250","DALIN4Q","SID_24_3","A321","Lufthansa"
"VLG63KY","0,859046884018369","41,271630508916274","2,0667610934459946","11:20:20:234","OLOXO1Q","SID_24_1","A20N","Vueling"
"VLG28VR","0,882131721783081","41,27206531907922","2,0672753002736646","11:21:40:250","DALIN4Q","SID_24_3","A20N","Vueling"
"AHO859Y","0,577605294864245","41,26838147099189","2,0596390519194414","11:23:48:304","AGENA5Q","SID_24_3","E35L","Air Hamburg"
"BAW485","0,781092350049703","41,26928476663353","2,064678575915948","11:25:24:289","NATPI2Q","SID_24_1","A319","British Airways"
"VLG2MJ","0,589443453559917","41,27104746819098","2,0607521682370895","11:26:44:359","GRAUS5Q","SID_24_1","A320","Vueling"
"EJU64CT","0,564541337838966","41,27073173193109","2,0601521599891153","11:28:00:375","DALIN4Q","SID_24_3","A319","easyJet Europe"
"RYR75HD","0,635152551947174","41,26944787957194","2,0614211214684994","11:29:36:375","OLOXO1Q","SID_24_1","B738","Ryanair"
"EJU48RE","0,778026195323576","41,27098324976446","2,064927518942227","11:35:56:437","DALIN4Q","SID_24_3","A320","easyJet Europe"
"AHY046","0,765021175358233","41,26799073094903","2,063854450080634","11:37:16:429","DIPES1Q","SID_24_3","A320","Azerbaijan Airlines"
"RYR6UL","0,516034451813429","41,269051050439046","2,0585197434663938","11:38:48:500","AGENA5Q","SID_24_3","B738","Ryanair"
"RYR6376","0,573880814981782","41,2694604010258","2,060027636432155","11:40:04:507","LOTOS5Q","SID_24_2","B738","Ryanair"
"AFR94BQ","0,489607444907337","41,269820299144705","2,0582271528875182","11:41:32:554","OLOXO1Q","SID_24_1","A320","Air France"
"VLG3VF","0,734960841877475","41,26960338186328","2,063723631789272","11:42:48:507","DIPES1Q","SID_24_3","A320","Vueling"
"RYR426G","0,593416373376769","41,26878413373181","2,060207263204525","11:44:12:539","DALIN4Q","SID_24_3","B738","Ryanair"
"RYR1XN","0,656789428661519","41,26892102801579","2,0617307646097247","11:47:44:570","DUNES5Q","SID_24_2","B738","Ryanair"
"T7MPS","0,752810237009173","41,2708465825943","2,064353767349843","11:50:12:593","LARPA5Q","SID_24_2","PC24","San Marino Private Aircraft"
"AAL113","0,487714282830052","41,26881234151185","2,057726380383132","11:51:52:640","LOBAR6Q","SID_24_1","B788","American Airlines"
"IBE30SY","0,736093555126229","41,270608662459054","2,0639512770207538","11:57:20:671","SENIA5Q","SID_24_2","A320","Iberia"
"VLG12ET","0,827595068867719","41,26936563284874","2,065748043481511","11:59:20:664","LARPA5Q","SID_24_2","A20N","Vueling"
"VLG3BV","1,37081833271454","41,28252588885354","2,0746378343862673","12:00:56:765","DIPES1Q","SID_24_3","A20N","Vueling"
